Time - Hour,MIN of Time,SUM of Movement,AVERAGE of Light,SUM of Sound,AVERAGE of Temperature,AVERAGE of Humidity,AVERAGE of CO2,AVERAGE of TVOC
1,1:01:01 AM,244,55.06696807,0,25.92972591,23.67730997,1050.430348,138.5942357
2,2:00:00 AM,14,0,0,25.50786111,25.085,792.2086111,59.23527778
3,3:00:00 AM,0,0,0,25.24402778,26.19972222,422.1027778,2.948333333
4,4:00:00 AM,40,0,0,25.05386111,27.13333333,405.1875,0.3702777778
5,5:00:00 AM,6,0.1280555556,0,24.85938889,27.79083333,406.5827778,0.6325
6,6:00:00 AM,34,5.090555556,0,24.75552778,28,403.0375,0.1458333333
7,7:00:00 AM,15,10.51972222,0,24.69705556,28.4875,404.7105556,0.2777777778
8,8:00:00 AM,33,25.54111111,0,24.66,28.96916667,407.0069444,0.6355555556
9,9:00:00 AM,48,60.93527778,0,24.76163889,27.74777778,451.6158333,7.4475
10,10:00:00 AM,92,74.84820647,0,24.94943132,27.24103237,630.8468941,34.69860017
