Time,Movement,Light,Sound,Temperature,Humidity,CO2,TVOC
12:41 AM,27,160,21,30.57,31.00,393,0
12:42 AM,12,164,41,30.50,31.03,401,0
12:43 AM,14,161,53,30.50,31.10,401,0
12:44 AM,0,162,59,30.58,31.00,400,0
12:45 AM,0,162,60,30.60,31.00,401,0
12:46 AM,0,162,60,30.61,31.00,405,0
12:47 AM,0,162,60,30.63,31.00,401,0
12:48 AM,8,162,60,30.66,31.00,402,0
12:49 AM,12,159,58,30.68,31.00,406,0
12:50 AM,15,125,57,30.66,31.00,402,0
12:51 AM,0,100,57,30.62,31.00,404,0
12:52 AM,0,99,60,30.60,31.00,404,0
12:53 AM,0,100,59,30.57,31.00,404,0
12:54 AM,0,99,58,30.52,31.00,402,0
12:55 AM,0,99,59,30.50,31.28,402,0
12:56 AM,0,99,59,30.50,31.70,402,0
12:57 AM,0,99,60,30.49,31.97,402,0
12:58 AM,0,99,60,30.45,31.97,403,0
12:59 AM,0,99,59,30.43,32.00,403,0
1:00 AM,0,99,60,30.41,32.00,402,0
1:01 AM,0,99,59,30.40,32.00,403,0
1:02 AM,0,99,58,30.40,32.00,405,0
1:03 AM,0,99,59,30.40,32.00,404,0
1:04 AM,0,99,60,30.40,32.00,403,0
1:05 AM,0,99,58,30.40,32.00,404,0
1:06 AM,0,99,59,30.37,32.00,402,0
1:07 AM,17,91,60,30.35,32.00,405,1
1:08 AM,6,62,58,30.37,32.00,408,1
1:09 AM,4,71,57,30.37,32.00,410,1
1:10 AM,0,70,60,30.36,32.00,410,1
1:11 AM,0,69,55,30.34,32.00,411,1
1:12 AM,5,69,51,30.33,32.00,416,2
1:13 AM,4,68,55,30.35,32.00,422,3
1:14 AM,3,68,54,30.33,32.00,419,2
1:15 AM,3,67,55,30.31,32.00,421,3
1:16 AM,0,67,53,30.30,32.00,427,3
1:17 AM,3,66,56,30.30,32.00,427,3
1:18 AM,0,66,54,30.30,32.00,430,4
1:19 AM,3,66,52,30.30,32.00,432,4
1:20 AM,2,65,49,30.30,32.00,434,5
1:21 AM,2,65,53,30.30,32.00,436,5
1:22 AM,21,59,43,30.30,32.00,435,5
1:23 AM,26,88,45,30.30,32.00,438,5
1:24 AM,3,64,55,30.30,32.00,435,5
1:25 AM,14,64,54,30.30,32.00,437,5
1:26 AM,0,64,56,30.30,32.00,437,5
1:27 AM,0,64,54,30.30,32.00,441,6
1:28 AM,7,63,58,30.30,32.00,440,5
1:29 AM,3,63,57,30.30,32.00,443,6
1:30 AM,2,63,54,30.30,32.00,443,6
1:31 AM,3,63,55,30.29,32.00,449,7
1:32 AM,9,63,56,30.28,32.00,446,7
1:33 AM,4,63,57,30.26,32.00,445,7
1:34 AM,0,63,57,30.27,32.00,451,7
1:35 AM,3,63,55,30.27,32.00,452,7
1:36 AM,0,62,59,30.29,32.00,452,7
1:37 AM,0,62,52,30.29,32.00,453,8
1:38 AM,0,62,58,30.29,32.00,455,8
1:39 AM,0,62,53,30.28,32.00,455,8
1:40 AM,10,11,49,30.25,32.00,453,8
1:41 AM,0,0,53,30.22,32.00,454,8
1:42 AM,0,0,49,30.20,32.00,454,8
1:43 AM,3,0,45,30.20,32.00,453,8
1:44 AM,0,0,44,30.20,32.00,455,8
1:45 AM,0,0,42,30.20,32.00,456,8
1:46 AM,0,0,42,30.20,32.00,457,8
1:47 AM,0,0,46,30.20,32.00,458,8
1:48 AM,0,0,43,30.20,32.00,459,8
1:49 AM,0,0,43,30.20,32.00,462,9
1:50 AM,0,0,43,30.20,32.00,463,9
1:51 AM,0,0,44,30.20,32.00,463,9
1:52 AM,0,0,46,30.20,32.00,465,10
1:53 AM,0,0,44,30.20,32.00,469,10
1:54 AM,0,0,43,30.20,32.00,474,11
1:55 AM,0,0,44,30.20,32.00,470,10
1:56 AM,0,0,46,30.20,32.00,474,11
1:57 AM,0,0,40,30.20,32.00,475,11
1:58 AM,0,0,45,30.18,32.00,475,11
1:59 AM,0,0,35,30.18,32.00,475,11
2:00 AM,0,0,39,30.18,32.00,472,11
2:01 AM,0,0,40,30.17,32.00,475,11
2:02 AM,0,0,39,30.16,32.00,476,11
2:03 AM,0,0,40,30.14,32.00,477,11
2:04 AM,0,0,40,30.12,32.00,479,11
2:05 AM,0,0,38,30.12,32.00,480,12
